"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2020","2,057.96","2,057.96","2,057.96","2,057.96","-","-3.14%"
"Mar 13, 2020","2,124.78","2,124.78","2,124.78","2,124.78","-","-5.01%"
"Mar 12, 2020","2,236.81","2,236.81","2,236.81","2,236.81","-","-3.44%"
"Mar 11, 2020","2,316.58","2,316.58","2,316.58","2,316.58","-","0.22%"
"Mar 10, 2020","2,311.47","2,311.47","2,311.47","2,311.47","-","-1.05%"
"Mar 09, 2020","2,335.95","2,335.95","2,335.95","2,335.95","-","-2.69%"
"Mar 06, 2020","2,400.56","2,400.56","2,400.56","2,400.56","-","-0.77%"
"Mar 05, 2020","2,419.29","2,419.29","2,419.29","2,419.29","-","0.69%"
"Mar 04, 2020","2,402.70","2,402.70","2,402.70","2,402.70","-","0.82%"
"Mar 03, 2020","2,383.12","2,383.12","2,383.12","2,383.12","-","0.63%"
"Mar 02, 2020","2,368.13","2,368.13","2,368.13","2,368.13","-","1.33%"
"Feb 28, 2020","2,337.03","2,337.03","2,337.03","2,337.03","-","-3.01%"
"Feb 27, 2020","2,409.53","2,409.53","2,409.53","2,409.53","-","-0.81%"
"Feb 26, 2020","2,429.19","2,429.19","2,429.19","2,429.19","-","-0.93%"
"Feb 25, 2020","2,452.05","2,452.05","2,452.05","2,452.05","-","-2.06%"
"Feb 24, 2020","2,503.55","2,503.55","2,503.55","2,503.55","-","0.18%"
"Feb 21, 2020","2,498.94","2,498.94","2,498.94","2,498.94","-","-0.91%"
"Feb 20, 2020","2,521.84","2,521.84","2,521.84","2,521.84","-","-0.06%"
"Feb 19, 2020","2,523.35","2,523.35","2,523.35","2,523.35","-","-0.66%"
"Feb 18, 2020","2,540.23","2,540.23","2,540.23","2,540.23","-","-0.43%"
"Feb 17, 2020","2,551.17","2,551.17","2,551.17","2,551.17","-","-0.31%"
